TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR+PC/LWAL+CDL/H:2,2,0.5,1.0
CR+PC/LWAL+CDL/H:2/YBET:1957-1964,2,0.5,1.0
CR+PC/LWAL+CDL/HBET:3-5,3,1.8407,5.5221
CR+PC/LWAL+CDL/HBET:3-5/YBET:1957-1964,3,1.8407,5.5221
CR/LDUAL+CDL/HBET:3-5,3,1.8407,5.5221
CR/LDUAL+CDM/HBET:3-5,3,1.8407,5.5221
CR/LFINF+CDL/H:2,2,0.5,1.0
CR/LFINF+CDL/H:2/YBET:1957-1964,2,0.5,1.0
CR/LFINF+CDL/HBET:3-5,3,1.8407,5.5221
CR/LFINF+CDL/HBET:3-5/YBET:1957-1964,3,1.8407,5.5221
CR/LFINF+CDM/H:2,2,0.5,1.0
CR/LFINF+CDM/HBET:3-5,3,1.8407,5.5221
MCF/LWAL+CDL/H:2,2,0.5,1.0
MCF/LWAL+CDL/H:2/YBET:1957-1964,2,0.5,1.0
MCF/LWAL+CDM/H:2,2,0.5,1.0
MIX/LH+CDL/H:1/YBET:1957-1964,1,1.0,1.0
MUR+ADO/LWAL+CDN/H:1,1,1.0,1.0
MUR+CL/LWAL+CDN/H:1/FC,1,1.0,1.0
MUR+CL/LWAL+CDN/H:1/FW,1,1.0,1.0
MUR+CL/LWAL+CDN/H:2/FC,2,0.5,1.0
MUR+CL/LWAL+CDN/H:2/FW,2,0.5,1.0
MUR+ST/LWAL+CDN/H:1,1,1.0,1.0
MUR+ST/LWAL+CDN/H:2,2,0.5,1.0
W/LWAL+CDL/H:1,1,1.0,1.0
W/LWAL+CDL/H:1/YBET:1957-1964,1,1.0,1.0
W/LWAL+CDL/H:2,2,0.5,1.0
W/LWAL+CDL/H:2/YBET:1957-1964,2,0.5,1.0
CR+PC/LWAL+CDL/HBET:6-,6,2.0,12.0
CR+PC/LWAL+CDL/HBET:6-/YBET:1957-1964,6,2.0,12.0
CR/LDUAL+CDL/HBET:6-,6,2.0,12.0
CR/LDUAL+CDM/HBET:6-,6,2.0,12.0
CR/LWAL+CDL/HBET:3-5,3,1.8407,5.5221
CR/LWAL+CDL/HBET:6-,6,2.0,12.0
CR/LWAL+CDL/HBET:6-/YBET:1957-1964,6,2.0,12.0
CR/LWAL+CDM/HBET:3-5,3,1.8407,5.5221
CR/LWAL+CDM/HBET:6-,6,2.0,12.0
MCF/LWAL+CDL/HBET:3-5,3,1.8407,5.5221
MCF/LWAL+CDL/HBET:3-5/YBET:1957-1964,3,1.8407,5.5221
MCF/LWAL+CDM/HBET:3-5,3,1.8407,5.5221
