TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR+PC/LWAL+CDM/H:1,1,1.0,1.0
CR+PC/LWAL+CDM/H:2,2,0.5,1.0
CR+PC/LWAL+CDM/HBET:3-5,4,3.252,13.008
CR+PC/LWAL+CDM/HBET:6-,7,4.0,28.0
CR/LFINF+CDM/H:1,1,1.0,1.0
CR/LFINF+CDM/H:2,2,0.5,1.0
CR/LFINF+CDM/HBET:3-5,4,3.252,13.008
MCF/LWAL+CDL/H:1,1,1.0,1.0
MCF/LWAL+CDL/H:2,2,0.5,1.0
MUR/LWAL+CDN/H:1,1,1.0,1.0
MUR/LWAL+CDN/H:2,2,0.5,1.0
MUR/LWAL+CDN/HBET:3-5,4,3.252,13.008
W/LWAL+CDL/H:1,1,1.0,1.0
W/LWAL+CDL/H:2,2,0.5,1.0
CR/LDUAL+CDL/HBET:6-,7,4.0,28.0
CR/LDUAL+CDM/HBET:6-,7,4.0,28.0
CR/LDUAL+CDM/HBET:6-/SOS,7,4.0,28.0
CR/LFINF+CDL/HBET:3-5,4,3.252,13.008
CR/LFINF+CDM/HBET:3-5/SOS,4,3.252,13.008
MCF/LWAL+CDL/HBET:3-5,4,3.252,13.008
