TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR/LDUAL+CDH/H:1,1,1.0,1.0
CR/LDUAL+CDH/H:2,2,0.5,1.0
CR/LDUAL+CDH/HBET:3-5,4,1.0,4.0
CR/LDUAL+CDL/H:1,1,1.0,1.0
CR/LDUAL+CDL/H:2,2,0.5,1.0
CR/LDUAL+CDL/HBET:3-5,4,1.0,4.0
CR/LDUAL+CDM/H:1,1,1.0,1.0
CR/LDUAL+CDM/H:2,2,0.5,1.0
CR/LDUAL+CDM/HBET:3-5,4,1.0,4.0
CR/LDUAL+CDN/H:1,1,1.0,1.0
CR/LDUAL+CDN/H:2,2,0.5,1.0
CR/LFINF+CDH/H:1,1,1.0,1.0
CR/LFINF+CDH/H:2,2,0.5,1.0
CR/LFINF+CDH/HBET:3-5,4,1.0,4.0
CR/LFINF+CDH/HBET:6-,6,3.8,22.799999999999997
CR/LFINF+CDL/H:1,1,1.0,1.0
CR/LFINF+CDL/H:2,2,0.5,1.0
CR/LFINF+CDL/HBET:3-5,4,1.0,4.0
CR/LFINF+CDL/HBET:6-,6,3.8,22.799999999999997
CR/LFINF+CDM/H:1,1,1.0,1.0
CR/LFINF+CDM/H:2,2,0.5,1.0
CR/LFINF+CDM/HBET:3-5,4,1.0,4.0
CR/LFINF+CDM/HBET:6-,6,3.8,22.799999999999997
CR/LFINF+CDN/H:1,1,1.0,1.0
CR/LFINF+CDN/H:2,2,0.5,1.0
CR/LFINF+CDN/HBET:3-5,4,1.0,4.0
MCF/LWAL+CDL/H:1,1,1.0,1.0
MCF/LWAL+CDL/H:2,2,0.5,1.0
MCF/LWAL+CDL/HBET:3-5,4,1.0,4.0
MUR+CB/LWAL+CDN/H:1,1,1.0,1.0
MUR+CB/LWAL+CDN/H:2,2,0.5,1.0
MUR+CL/LWAL+CDN/H:1,1,1.0,1.0
MUR+CL/LWAL+CDN/H:2,2,0.5,1.0
MUR+CL/LWAL+CDN/HBET:3-5,4,1.0,4.0
MUR+ST/LWAL+CDN/H:1,1,1.0,1.0
MUR+ST/LWAL+CDN/H:2,2,0.5,1.0
MUR+ST/LWAL+CDN/HBET:3-5,4,1.0,4.0
W/LWAL+CDH/H:1,1,1.0,1.0
W/LWAL+CDL/H:1,1,1.0,1.0
W/LWAL+CDM/H:1,1,1.0,1.0
W/LWAL+CDN/H:1,1,1.0,1.0
CR/LDUAL+CDH/H:2/SOS,2,0.5,1.0
CR/LDUAL+CDH/HBET:3-5/SOS,4,1.0,4.0
CR/LDUAL+CDH/HBET:6-,6,3.8,22.799999999999997
CR/LDUAL+CDH/HBET:6-/SOS,6,3.8,22.799999999999997
CR/LDUAL+CDL/H:2/SOS,2,0.5,1.0
CR/LDUAL+CDL/HBET:3-5/SOS,4,1.0,4.0
CR/LDUAL+CDL/HBET:6-,6,3.8,22.799999999999997
CR/LDUAL+CDL/HBET:6-/SOS,6,3.8,22.799999999999997
CR/LDUAL+CDM/H:2/SOS,2,0.5,1.0
CR/LDUAL+CDM/HBET:3-5/SOS,4,1.0,4.0
CR/LDUAL+CDM/HBET:6-,6,3.8,22.799999999999997
CR/LDUAL+CDM/HBET:6-/SOS,6,3.8,22.799999999999997
CR/LDUAL+CDN/HBET:3-5,4,1.0,4.0
CR/LDUAL+CDN/HBET:6-,6,3.8,22.799999999999997
CR/LFINF+CDH/H:2/SOS,2,0.5,1.0
CR/LFINF+CDH/HBET:3-5/SOS,4,1.0,4.0
CR/LFINF+CDH/HBET:6-/SOS,6,3.8,22.799999999999997
CR/LFINF+CDL/H:2/SOS,2,0.5,1.0
CR/LFINF+CDL/HBET:3-5/SOS,4,1.0,4.0
CR/LFINF+CDL/HBET:6-/SOS,6,3.8,22.799999999999997
CR/LFINF+CDM/H:2/SOS,2,0.5,1.0
CR/LFINF+CDM/HBET:3-5/SOS,4,1.0,4.0
CR/LFINF+CDM/HBET:6-/SOS,6,3.8,22.799999999999997
CR/LFINF+CDN/HBET:6-,6,3.8,22.799999999999997
