TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR/LFINF+CDL/H:2,2,0.5,1.0
CR/LFINF+CDL/HBET:3-5,4,1.0,4.0
CR/LFINF+CDM/H:2,2,0.5,1.0
CR/LFINF+CDM/HBET:3-5,4,1.0,4.0
MCF/LWAL+CDL/H:1,1,1.0,1.0
MCF/LWAL+CDL/H:2,2,0.5,1.0
MUR+ADO/LWAL+CDN/H:1,1,1.0,1.0
MUR/LWAL+CDN/H:1,1,1.0,1.0
MUR/LWAL+CDN/H:2,2,0.5,1.0
MUR/LWAL+CDN/HBET:3-5,4,1.0,4.0
CR/LDUAL+CDM/HBET:6-,6,3.7688,22.6128
CR/LFINF+CDL/HBET:6-,6,3.7688,22.6128
CR/LFINF+CDM/HBET:6-,6,3.7688,22.6128
CR/LFINF+CDN/HBET:3-5,4,1.0,4.0
MUR+ADO/LWAL+CDN/H:2,2,0.5,1.0
