TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR+PC/LWAL+CDN/HBET:3-5,4,1.835,7.34
CR/LFINF+CDL/H:1,1,1.0,1.0
CR/LFINF+CDL/H:2,2,0.5,1.0
CR/LFINF+CDL/HBET:3-5,4,1.835,7.34
CR/LFINF+CDL/HBET:6-,6,3.0,18.0
CR/LFINF+CDN/HBET:3-5,4,1.835,7.34
CR/LFINF+CDN/HBET:6-,6,3.0,18.0
MCF/LWAL+CDL/H:1,1,1.0,1.0
MCF/LWAL+CDL/H:2,2,0.5,1.0
MCF/LWAL+CDL/HBET:3-5,4,1.835,7.34
MUR+ADO/LWAL+CDN/H:1,1,1.0,1.0
MUR+ADO/LWAL+CDN/H:2,2,0.5,1.0
MUR+CL/LWAL+CDN/H:1,1,1.0,1.0
MUR+CL/LWAL+CDN/H:2,2,0.5,1.0
MUR+CL/LWAL+CDN/HBET:3-5,4,1.835,7.34
MUR+ST/LWAL+CDN/H:1,1,1.0,1.0
MUR+ST/LWAL+CDN/H:2,2,0.5,1.0
W/LFM+CDL/H:1,1,1.0,1.0
W/LFM+CDL/H:2,2,0.5,1.0
W/LFM+CDL/HBET:3-5,4,1.835,7.34
W/LFM+CDN/H:1,1,1.0,1.0
W/LFM+CDN/H:2,2,0.5,1.0
W/LFM+CDN/HBET:3-5,4,1.835,7.34
