TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR/LFINF+CDL/H:2,2,0.5,1
CR/LFINF+CDL/HBET:3-5,5,4,20
CR/LFINF+CDM/H:1,1,1,1
CR/LFINF+CDM/H:2,2,0.5,1
CR/LFINF+CDM/HBET:3-5,5,4,20
CR/LFINF+CDN/HBET:3-5,5,4,20
MCF/LWAL+CDM/H:1,1,1,1
MCF/LWAL+CDM/H:2,2,0.5,1
MCF/LWAL+CDM/HBET:3-5,5,4,20
MUR/LWAL+CDN/H:1,1,1,1
MUR/LWAL+CDN/H:2,2,0.5,1
MUR/LWAL+CDN/HBET:3-5,5,4,20
CR/LDUAL+CDM/HBET:6-,7,5,35
CR/LFINF+CDL/HBET:6-,7,5,35
CR/LFINF+CDM/HBET:6-,7,5,35
CR/LFINF+CDN/H:2,2,0.5,1
CR/LFINF+CDN/HBET:6-,7,5,35
