TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR/LDUAL+CDH/HBET:10-15,10,6.0,60.0
CR/LDUAL+CDH/H:6,6,3.5,21.0
CR/LDUAL+CDH/H:7,7,4.2,29.400000000000002
CR/LDUAL+CDH/H:8,8,5.0,40.0
CR/LDUAL+CDH/H:9,9,5.0,45.0
CR/LDUAL+CDL/HBET:10-15,10,6.0,60.0
CR/LDUAL+CDL/HBET:10-15/YBET:1974-1994,10,6.0,60.0
CR/LDUAL+CDM/HBET:10-15,10,6.0,60.0
CR/LFINF+CDH/HBET:10-15,10,6.0,60.0
CR/LFINF+CDH/H:2,2,1.0,2.0
CR/LFINF+CDH/H:3,3,0.5,1.5
CR/LFINF+CDH/H:4,4,0.5,2.0
CR/LFINF+CDH/H:5,5,1.0,5.0
CR/LFINF+CDH/H:6,6,3.5,21.0
CR/LFINF+CDH/H:7,7,4.2,29.400000000000002
CR/LFINF+CDH/H:8,8,5.0,40.0
CR/LFINF+CDH/H:9,9,5.0,45.0
CR/LFINF+CDL/HBET:10-15,10,6.0,60.0
CR/LFINF+CDL/HBET:10-15/YBET:1974-1994,10,6.0,60.0
CR/LFINF+CDL/H:3,3,0.5,1.5
CR/LFINF+CDL/H:3/YBET:1974-1994,3,0.5,1.5
CR/LFINF+CDL/H:4,4,0.5,2.0
CR/LFINF+CDL/H:4/YBET:1974-1994,4,0.5,2.0
CR/LFINF+CDL/H:5,5,1.0,5.0
CR/LFINF+CDL/H:5/YBET:1974-1994,5,1.0,5.0
CR/LFINF+CDL/H:6,6,3.5,21.0
CR/LFINF+CDL/H:6/YBET:1974-1994,6,3.5,21.0
CR/LFINF+CDL/H:7,7,4.2,29.400000000000002
CR/LFINF+CDL/H:7/YBET:1974-1994,7,4.2,29.400000000000002
CR/LFINF+CDL/H:8,8,5.0,40.0
CR/LFINF+CDL/H:8/YBET:1974-1994,8,5.0,40.0
CR/LFINF+CDL/H:9,9,5.0,45.0
CR/LFINF+CDL/H:9/YBET:1974-1994,9,5.0,45.0
CR/LFINF+CDM/HBET:10-15,10,6.0,60.0
CR/LFINF+CDM/H:2,2,1.0,2.0
CR/LFINF+CDM/H:3,3,0.5,1.5
CR/LFINF+CDM/H:4,4,0.5,2.0
CR/LFINF+CDM/H:5,5,1.0,5.0
CR/LFINF+CDM/H:6,6,3.5,21.0
CR/LFINF+CDM/H:7,7,4.2,29.400000000000002
CR/LFINF+CDM/H:8,8,5.0,40.0
CR/LFINF+CDM/H:9,9,5.0,45.0
CR/LFINF+CDN/HBET:10-15,10,6.0,60.0
CR/LFINF+CDN/H:7,7,4.2,29.400000000000002
CR/LFINF+CDN/H:8,8,5.0,40.0
CR/LFINF+CDN/H:9,9,5.0,45.0
CR/LFLS+CDL/H:2,2,1.0,2.0
CR/LFLS+CDL/H:2/YBET:1974-1994,2,1.0,2.0
CR/LFLS+CDL/H:3,3,0.5,1.5
CR/LFLS+CDL/H:3/YBET:1974-1994,3,0.5,1.5
CR/LFLS+CDL/H:4,4,0.5,2.0
CR/LFLS+CDL/H:4/YBET:1974-1994,4,0.5,2.0
CR/LFLS+CDL/H:5,5,1.0,5.0
CR/LFLS+CDL/H:5/YBET:1974-1994,5,1.0,5.0
CR/LFLS+CDL/H:6,6,3.5,21.0
CR/LFLS+CDL/H:6/YBET:1974-1994,6,3.5,21.0
