TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR/LDUAL+CDM/HBET:3-5,5,3.425,17.125
CR/LFINF+CDL/H:1,1,1.0,1.0
CR/LFINF+CDL/H:2,2,0.5,1.0
CR/LFINF+CDL/HBET:3-5,5,3.425,17.125
CR/LFINF+CDL/HBET:6-,7,5.0,35.0
CR/LFINF+CDM/H:1,1,1.0,1.0
CR/LFINF+CDM/H:2,2,0.5,1.0
CR/LFINF+CDM/HBET:3-5,5,3.425,17.125
CR/LFINF+CDM/HBET:6-,7,5.0,35.0
CR/LFINF+CDN/HBET:3-5,5,3.425,17.125
CR/LFINF+CDN/HBET:6-,7,5.0,35.0
MCF/LWAL+CDL/H:1,1,1.0,1.0
MCF/LWAL+CDL/H:2,2,0.5,1.0
MCF/LWAL+CDL/HBET:3-5,5,3.425,17.125
MCF/LWAL+CDM/H:1,1,1.0,1.0
MCF/LWAL+CDM/H:2,2,0.5,1.0
MCF/LWAL+CDM/HBET:3-5,5,3.425,17.125
MUR/LWAL+CDN/H:1,1,1.0,1.0
MUR/LWAL+CDN/H:2,2,0.5,1.0
MUR/LWAL+CDN/HBET:3-5,5,3.425,17.125
CR/LDUAL+CDL/HBET:3-5,5,3.425,17.125
CR/LDUAL+CDL/HBET:6-,7,5.0,35.0
CR/LDUAL+CDM/HBET:6-,7,5.0,35.0
CR/LFINF+CDL/HBET:3-5/SOS,5,3.425,17.125
CR/LFINF+CDM/HBET:3-5/SOS,5,3.425,17.125
CR/LFINF+CDN/H:1,1,1.0,1.0
CR/LFINF+CDN/H:2,2,0.5,1.0
CR/LFINF+CDN/HBET:3-5/SOS,5,3.425,17.125
CR/LWAL+CDL/HBET:6-,7,5.0,35.0
CR/LWAL+CDM/HBET:6-,7,5.0,35.0
