TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR/LFINF+CDL/H:1,1,1.0,1.0
CR/LFINF+CDL/H:2,2,0.5,1.0
CR/LFINF+CDL/HBET:3-5,3,0.82,2.46
MCF/LWAL+CDL/H:1,1,1.0,1.0
MCF/LWAL+CDL/H:2,2,0.5,1.0
MCF/LWAL+CDL/HBET:3-5,3,0.82,2.46
MUR/LWAL+CDN/H:1,1,1.0,1.0
MUR/LWAL+CDN/H:2,2,0.5,1.0
MUR/LWAL+CDN/HBET:3-5,3,0.82,2.46
CR/LDUAL+CDM/HBET:6-,6,2.0,12.0
CR/LFINF+CDL/HBET:6-,6,2.0,12.0
CR/LFINF+CDM/HBET:3-5,3,0.82,2.46
CR/LFINF+CDM/HBET:6-,6,2.0,12.0
CR/LFINF+CDN/HBET:3-5,3,0.82,2.46
CR/LFINF+CDN/HBET:6-,6,2.0,12.0
MCF/LWAL+CDM/H:1,1,1.0,1.0
MCF/LWAL+CDM/H:2,2,0.5,1.0
MCF/LWAL+CDM/HBET:3-5,3,0.82,2.46
