TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR+PC/LWAL+CDN/HBET:3-5,3,1.0,3.0
CR/LWAL+CDN/HBET:3-5,3,1.0,3.0
MUR/LWAL+CDN/H:1,1,1.0,1.0
MUR/LWAL+CDN/H:2,2,0.5,1.0
MUR/LWAL+CDN/HBET:3-5,3,1.0,3.0
W/LFM+CDN/H:1,1,1.0,1.0
W/LFM+CDN/H:2,2,0.5,1.0
CR/LDUAL+CDN/HBET:3-5,3,1.0,3.0
CR/LDUAL+CDN/HBET:6-,7,3.7,25.900000000000002
CR/LWAL+CDN/HBET:6-,7,3.7,25.900000000000002
S/LFINF+CDN/H:2,2,0.5,1.0
S/LWAL+CDN/HBET:3-5,3,1.0,3.0
S/LWAL+CDN/HBET:6-,7,3.7,25.900000000000002
W/LFM+CDN/HBET:3-5,3,1.0,3.0
