The processed census data for Romania was provided by Dragos Toma-Danila (toma_drag@yahoo.com) - see 'data_Romania_RES_census-buildings.xlsx'. The taxonomy provided in the latter file have been adapted to follow the latest GEM Taxonomy and some additional modifications have been made as summarised below:

ORIGINAL TAXONOMY				GEM TAXONOMY
CR+CIP/LFINF+DNO/HEX:1/YPRE:1945		CR/LFINF+DNO/H:1/YPRE:1945
CR+CIP/LFINF+DNO/HEX:1/YBET:1946,1960		CR/LFINF+DNO/H:1/YBET:1946,1960
CR+CIP/LFM+DUC/HEX:1/YBET:1960,1977		CR/LFM+DUC/H:1/YBET:1960,1977
CR+CIP/LFINF+DUC/HEX:1/YBET:1960,1977		CR/LFINF+DUC/H:1/YBET:1960,1977
CR+PC/LFM+DUC/HEX:1/YBET:1960,1977		CR+PC/LFM+DUC/H:1/YBET:1960,1977
CR+PC/LWAL+DUC/HEX:1/YBET:1960,1977		CR+PC/LWAL+DUC/H:1/YBET:1960,1977
CR+PC/LFM+DUC/HEX:1/YBET:1977,1992		CR+PC/LFM+DUC/H:1/YBET:1977,1992
CR+PC/LDUAL+DUC/HEX:1/YBET:1977,1992		CR+PC/LDUAL+DUC/H:1/YBET:1977,1992
CR+PC/LWAL+DUC/HEX:1/YBET:1977,1992		CR+PC/LWAL+DUC/H:1/YBET:1977,1992
CR+CIP/LFM+DUC/HEX:1/YBET:1977,1992		CR/LFM+DUC/H:1/YBET:1977,1992
CR+CIP/LFM+DUC/HEX:1/YBET:1993,2002		CR/LFM+DUC/H:1/YBET:1993,2002
CR+CIP/LFINF+DUC/HEX:1/YBET:1993,2002		CR/LFINF+DUC/H:1/YBET:1993,2002
CR+PC/LWAL+DUC/HEX:1/YBET:1993,2002		CR+PC/LWAL+DUC/H:1/YBET:1993,2002
CR+CIP/LFM+DUC/HEX:1/YBET:2003,2006		CR/LFM+DUC/H:1/YBET:2003,2006
CR+CIP/LFINF+DUC/HEX:1/YBET:2003,2006		CR/LFINF+DUC/H:1/YBET:2003,2006
CR+CIP/LFM+DUC/HEX:1/YBET:2007,2011		CR/LFM+DUC/H:1/YBET:2007,2011
CR+CIP/LFINF+DUC/HEX:1/YBET:2007,2011		CR/LFINF+DUC/H:1/YBET:2007,2011
MCF+CLBRS+MOM/LFM+DNO/HEX:1/YPRE:1945/FC	MCF+CLBRS+MOM/LWAL+DNO/H:1/YPRE:1945/FC
MCF+CLBRS+MOM/LFM+DNO/HEX:1/YBET:1946,1960/FC	MCF+CLBRS+MOM/LWAL+DNO/H:1/YBET:1946,1960/FC
